id,name
4dpARuHxo51G3z768sgnrY,Adele
1urjDGTd4iBze91Z1W1gu7,Total
1QPZhx0asYTBxD5RDqfU49,Black Rob
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
77kFYakkBOUyJaVHwqktGU,The Storm
5y2Xq6xcjJb2jVM54GHK3t,John Legend
58lV9VcRSjABbAbfWS6skp,Bon Jovi
2WV4xLQooFalR2cit0XSKp,Jennifer Nettles
6B5c4sch27tWHAGdarpPaW,Seether
568ZhdwyaiCyOGJRtNYhWf,Deep Purple
7hmcMqYh4ypnXk0ptFTG3g,Drupi
7emRV8AluG3d4e5T0DZiK9,Loggins & Messina
4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
6ra4GIOgCZQZMOaUECftGN,Frank Zappa
5R17AqDSgs8KSIOhTvPWwu,Moon Zappa
0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
4Otx4bRLSfpah5kX8hdgDC,Naughty By Nature
6roFdX1y5BYSbp60OTJWMd,Tim McGraw
5IcGbIAgdns0R5EJKHMjCQ,LOCASH
4E9w0bms6HcEppFlWjeW2d,Bobbie Gentry
4cPHsZM98sKzmV26wlwD2W,Brenda Lee
5oMWW19j0AXl7Sy4Xn9rmg,Bobby Freeman
28pS8WVbFstY0o1SrqCf8I,Firehouse
3ap1NzHNV9QA1x1V6z3gSe,Gene Pitney
0UeVxCKyBypjQvDCT889zt,Mr. Cheeks
7FAkzV0YOw0EIXFhmY4RE3,Jermaine Stewart
